"Series Number",Filename,Name,Description,Gender,"Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness",UUID,Hash
82,bolanle-pepper-dem,"bolanle pepper dem","a money spender",,"Hair: Bald, Eyes: Black Colour, Teeth: None, Clothing: Ankara shirt with a white round neck and black jacket, Accessories: Green glasses with a black frame, Expression: Proud, Strength: Always has resources at disposal, Weakness: A Spendthrift, ",46966104-775b-4443-90bb-b35afd121653,45c37e5447a10a8934d915debce08007f74bd847f802494cf563e1574155b511
83,tayo-tailor,"tayo tailor","a professional fashion designer, in quote",,"Hair: Black Hair tied in a bun, Eyes: Black Colour, Teeth: None, Clothing: Orange Shirt with blue Vest, Accessories: Green Glasses with black frame, Expression: Inquisitive Strength: Creativity Weakness: Opinionated, ",70828783-ac38-48cf-b966-cfebc92ebd86,46223ee03c10f79d6a14d0157221ac1a39300403463cfb854aef1d0809f58408
84,ajasco-comedian,"ajasco comedian","he thinks he's funny but he's not",,"Hair: Black lowcut, Eyes: Black, Teeth: None, Clothing: Green Shirt with blue Vest, Accessories: Green eyeglasses with black frame, Expression: Bold, Strength: Optimistic Weakness: Unobservant, ",8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,66e0f8b9c7dcc0b1cf8835d92c51b5e7759fb21cbab58d850802dfec286ea767
85,tobi-babyboy,"tobi babyboy","he's currently in his babyboy era",,"Hair: Black hair, Eyes: Black Colour, Teeth: None, Clothing: White Shirt with blue Vest, Accessories: Green Eyeglasses with black frame, Expression: Friendly, Strength: Outgoing, Weakness: Lacks boundaries. ",3da592d4-5dec-4bc5-8412-f1b2a0269f95,1f72dd1b7ef2b85d1bfe9d69938fa5ce73066cab8e0a66d7102bec3f20f6ae3a
86,esther-sassy,"esther sassy","her motto is everybody must collect",,"Hair:Brown hair tied in two buns . Eyes:Grey and black Colour . Teeth:None . Clothing: Animal Print Top . Accessories: Pink Necklace, Red Scrunchie. Expression: Bold . Strength: Confident  . Weakness: Judgemental . ",0642a25a-966d-446f-b021-a6d18e7fa0c5,6ed20fcf2cf29727c6c0d9d5adc196c41a0cfa398a30eabd1468c3a4ac85faba
87,ozo-fineboi,"ozo fineboi","he's currently in his babyboy era",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",fdb0a5b6-7367-48bb-bd6b-720ec8c15226,442464544d642950b3094d371578149cb05fe838996aa6190bb850bdfbe90f78
88,ade-party-girl,"ade party girl","the life of every party",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",7e3db30c-9faf-430d-ab48-b854fe0456b9,d75a6d3ce2afe3ac677424b870454049ded4475102269f0379a688a11ae46313
89,john-casco,"john casco","silent killer",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",2eff88ef-5bc2-4779-917a-533e952e2953,649d023e25f31b65f712634c378755957c0b88bf3510b838ef6eca8bc0a3b309
90,agha-uwa,"agha uwa","senior man, may back flips",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",8478a002-1eba-4a05-8b98-7170c6e39254,3629cc263400f79d3741c690d14fd12368e843e797b953d64a153ba97f061ca0
91,udeme-great,"udeme great","an alcoholic",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",d1476409-6f8b-4be9-8c93-24d9123749c5,442246eb04cbd89bed8e679c25e78411099e7febfec88b71b599450aa01d1dfd
92,femi-tech-bro,"femi tech bro","broke tech bro actually, no money",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",ba3ec22a-13d5-4e19-9b7f-aac764fda28c,38397f13d3491ba05b6f150cfbe6ce170092c55dd27511b8813a3eec4f13762a
93,sai-baba,"sai baba","bts leader of 3rd world",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",fdfff369-5b57-4612-9f89-f5d408f24a35,ffd7416e6d9e77dbc1cea84db03675d3fd124aaa9148bbe5094dcf1e42902d87
94,omo-pastor,"omo pastor","a woman with the morals of a man",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",49e09559-61a6-41ff-811a-272721a7475c,599c6cc0ebc68e0046b7c01b7ce3b7666576e12730ec6b48386b34ab3a09e12a
95,obi-container,"obi container","a rich man from the east",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",4b64cf48-94fa-4aed-8cf2-452974b48ee3,f77566618e8796c85732e1afae26d640da2ea071a2503300bcd9ef6b2da16855
96,erigga-international,"erigga international","Super star from south-south",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,2117477fcff8b3fdcc1490eac52ed628f6a26dcf8ff4863c32720fee1dcec43c
97,ayo-web3-bro,"ayo web3 bro","no actual knowledge of basic computer principles",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",c137ec2b-18cd-4c29-a194-af29ac9e6c1c,3130e43e337f41e630de07aee963284db0ae3e6d45ca91ff96060c4a9334bbd1
98,phoebe-queen-bee,"phoebe queen bee","a self-centered woman, only thinks about herself",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",1277e9c0-81dc-4747-89df-a9d2ae4fcf96,0193b14a143314aca4327efc4bdede410d4dd0a16c4c3221747692bfea07fa74
99,rachel-warri-babe,"rachel warri babe","a woman who doesn't take nonsense",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",19e6af3b-ef2d-46ba-ba05-59fb612ebbee,771fd0d820e871529e31fc5fd8f4720a94f8a802413d874da52251a49e9cf7fa
100,adun-preacher,"adun preacher","a woman who preaches in buses",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",cc4dfedf-c343-48db-ad67-e39452ec2380,16b2e56d852e37ced1f0f46f536faafb4e0900021e17149f7fbaad012b56886c
,,,,,,
"TEAM CHISEL",,,,,,
101,adebola-omo-oba,"adebola omo oba","Adebola loves soft life with her fathers wealth",female,"Hair: brown, Eyes: opened, Teeth: white, Clothing: ankara print , Accessories:none , Expression: staring, Strength: bold, outspoken, Weakness: pride",fbf43611-f267-4cba-bf4b-a3ffdc122589,3bb8a852e403500862ed59fdf2dc2ce0246904a68bcbdac06f29a4b7e5bcd0a2
102,chichi-the-dancer,"chichi the dancer","Chichi loves dancing and party",female,"Hair: black, Eyes: blue,opened, Teeth: none, Clothing: ankara print, Accessories: none, Expression: shocked, Strength: dancing, Weakness: lovergirl",e7c32b06-7022-49b4-bbe5-81e8c1d58583,bfb29544858f462ef9b33bd025257a385a158dfbcfbf633586d7628b3108b5d0
103,hammed-the-farmer,"hammed the farmer","Hammed owns a farm with his family",male,"Hair: none, Eyes: opened, Teeth: none, Clothing: brown and cream buba, Accessories: nose mask, Expression: innocent, Strength: farming, Weakness: drinking",e57d8985-599e-49da-8d62-fc16b7ac93f2,f7a84221628be943b18c026a67786a08db38aec25021d49b18c9e3fffdeb5e9c
104,farida-the-tivlady,"farida the tivlady","Farada is a traditional TIv woman",female,"Hair: brown, Eyes: opened, Teeth: none, Clothing: ankara print, Accessories: lipgloss, Expression: cool, Strength: cooking, Weakness: multitasking",31d3e229-003e-43c8-ba82-38f49cf58ccb,4eb67ac707708aae6a8fc3fa28de8c9202d7eca7ca958a767c4110e0bee73b6d
105,hannah-the-singer,"hannah the singer","Hannah loves singing and belongs to choir",female,"Hair: blonde, Eyes: opened, Teeth: none, Clothing: flower print dress, Accessories: earrings, Expression: angry, Strength: singing, Weakness: reading",281f5bd7-5282-458b-9811-e369980e7dee,99ebcc2fab9a24807c4c95f8bd32a35e4b98da2cc12c343065ca52d990e71167
106,nonso-the-igbogirl,"nonso the igbogirl","Nonso is an Igbo girl that loves money",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",5cfa76df-8376-4505-af12-78af24f108d6,7e65c34aac5bdb12121d28009f1461124c1f3ee88ff2cd0ff1121725cdcd6634
107,shade-olori,"shade olori","Shade loves soft life and makeup",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,190913d7a6f4e250d3d6eafccf9908cb8fe15aabe7e34e12b68fe53ec8bd9346
108,quadri-the-teacher,"quadri the teacher","Quadri is a devoted teacher that teaches mathematics",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",d96a93e7-17a4-4efe-b09b-02185cc81ce8,4070426391a2e38076a1f5e588d06e975c6f3844b3f546a053101fd614d8f796
109,Ifeanyi-the-dj,"Ifeanyi the dj","Ifeanyi is a music dj that performs at events",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",030f665d-2cd7-4376-aef5-4030dad9f2d6,cf69d71cf93d310d40e1acc45e5695d590b0d27882be3af067d22de27d1c6988
110,fayo-the-yorubademon,"fayo the yorubademon","Fayo is a youruba demon that breaks hearts",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",e270e278-a9b5-408d-b527-d518239a997b,2a49f227591c4de74e4026cbf1f4d08e2bece30d1db610d314a0baf20ff2b03e
111,nkechi-the-actress,"nkechi the actress","Nkechi is an internation actress that acts in hollywood",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",34b1136d-00b1-4f29-8a03-5b02291d47d5,0b79ad07723120cfb29a940ec2e604ab5d69b40d7a28658264bcde78f2f3b25f
112,hamzat-the-mallam,"hamzat the mallam","Hamsat is a mallam that changes money",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",592eff9f-93b2-4452-a2ed-5d44ebc969db,b62b3cd5b9c3db3e0aeaa47b11d30267d7519f69b95e8bae4329cf0b89741f11
113,nnena-pretty-girl,"nnena pretty girl","Nnena is beautiful girl that loves to talk about her beauty",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",d9477612-ad63-408e-8d12-24679c647b32,a3d380789604589312244e456c87ba4cf23eea9c62127c6882e7da1e154db3ca
114,tunde-the-boss,"tunde the boss","Tunde is a boss that orders her helps around",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,21caaf8a6e8ad29e882c3ef7e6152f41f7ec7721510f97579fbf4ba9249fdd90
115,nnamdi-the-barber,"nnamdi the barber","Nnamdi is a baber that does celebrity haircuts",male,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",152758f3-9414-45a2-a809-95cb05a3de13,ef1033d0e4ed2b218cc13e438323bcc6cde08258bdc4a1421f9955d1b6b4195c
116,amaka-the-hypepriestess,"amaka the hypepriestess","Amaka is a very hyper that she hypes in the clubs",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,1567315e35b4b5b5ef8a34fed96c53110f79c9013f7f1d50fdfba1b1f66e75b6
117,kemi-foodie,"kemi foodie","Kemi loves food but cannot cook",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",3116cb6f-14c4-4d5a-af57-54253b72a309,4713a4bc9b5fc893b9e607bf34ac88ad67b4f3e1f2831b65975a8ffca2aa7e57
118,ada-the-fashionister,"ada the fashionister","Ada loves fashion that she rarely repeats cloths",female,"Hair: none, Eyes: none, Teeth: none, Clothing: none, Accessories: none, Expression: none, Strength: none, Weakness: none",a14df1c1-7a5a-4a33-8780-0fb01c593da6,dee02145cea8b83db6dacbdc24dbc87fd4978689ca98dfa7c524820e90f6cebc
119,kayode-the-baller,"kayode the baller","Kayode loves life and lives it",male,"Hair: bald, Eyes: wide opened, Teeth: none, Clothing: yellow on jeans, Accessories: none, Expression: none, Strength: swaggy, Weakness: loves women",fe17bfdc-c251-4654-8313-1ab793e11748,9b14a1f84fbefd428a3ffb6b6775cb5658fcfe5a5a2b9f236fe9a2ee849c3c71
120,kola-of-lagos,"kola of lagos","Kola is the life of the party everywhere he is",male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: native, Accessories: none, Expression: none, Strength: intelligent, Weakness: shy",df295be1-1509-406e-a263-28a5dee0abca,9399fa7067e6551f7da12e9ff779ac547325d491ce7b1cc55c189577061fe348
,,,,,,
"TEAM BRAINBOX",,,,,,
121,azikiwe-popular-trader,"azikiwe popular trader","Azikiwe is a popular trader",Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",7ebde325-8efc-4997-811a-b5686269929e,7f13176bd41dcfac7f98b2efd5cb8ddf623892e868c1dfe71af04a307df3b347
122,obasanjo-funny-guy,"obasanjo funny guy","Obasanjo is so hilarious ",Male,"hair:none ,eyes: black,teeth:small open teeth, clothings: sleeveless yellow ankara, accessories:none, expression: serious face, strength:mild  ",c136a120-a339-4080-96ca-1c93845c5848,754c7f49f0a135462d4b4949766ac06c34aceada3a3d1696f5e8e334b1e61e03
123,yakubu-village-chief,"yakubu village chief","Yakubu is the village chieftain",Male,"hair:none ,eyes: blue,teeth:open white teeth, clothings: black isiagu, accessories:cap, expression:happy, strength:Strong  ",5b0c0d26-d204-4264-b579-081ff9df935b,d7197bb362dafb47aaa58f6ac8bfd8964ec0fb20f384c58acd3293d8616118b2
124,abacha-loves-smoking,"abacha loves smoking","Abacha loves taking pipe",Male,"hair:cute braided hair ,eyes: black ball white eye, teeth:none, clothings: mixed colors ankara wear, accessories:none, expression:happy, strength:Strong",8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,38e64157dfff64d90ff7693d956a8f76367f0a82abfc476563e01e847b3bbb54
125,johnathan-good-leader,"johnathan good leader","A very progressive young man with positivity ",Male,"hair:punk bearded man ,eyes: closed, teeth:none, clothings: white shirt and senator, accessories:cap, expression:bone face, strength:Strong  ",241e3713-4ce3-48d0-827f-b282ae2db6c4,c26eac364a07ebf3cb379bd04f3b23c1655ad8f3929ac14c16f576e6dd57c50a
126,johnathan-genz-kid,"johnathan genz kid","A child of the moment , all fun and cruise ",Male,"hair:none ,eyes: blue,teeth: white, clothings: yellow ankara wear, accessories: traditional cap, expression:happy, strength:Strong  ",90c0ae09-a35f-42ad-b93c-dcf30169acd9,e921706205368201a7db3fd78703a3b27f67c296da1ad47fce8b1f8bea9708d3
127,eddy-the-community,"eddy the community","Man of the people ",Male,"hair:none ,eyes: blue, teeth:none, clothings: black isiagu wear, accessories: cap, expression: happy, strength: Strong ",5cabf9d9-882b-459e-9253-8c07eb045e2d,89a37ba94b3de6a4a0c8ca1355d406702734591140c9705d3e553eb182b7e0a3
128,olu-the-oba,"olu the oba","The oba of Ofuk kingdom ",Male,"hair: purple braided hair ,eyes: black, teeth: none, clothings: mixed color traditional wear, accessories: none, expression: serious face, strength:mild  ",04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,02a90aaac6d8d8d9c308637877ea57191f647b23887e097e9efa7d11b1a760fa
129,edu-the-biggest-trader,"edu the biggest trader","The biggest merchant in west coast ",Male,"hair:none ,eyes: blue, teeth:closed, clothings: black and yellow collar native wear, accessories:cap, expression:happy, strength:Strong  ",48d1de5f-5f3f-46aa-b2fd-68420a8e802b,4795a3c54550f4fc4f8050ddb85a45722f5a025764b73fc5e951db0d82b92b8d
130,james-importer-and-exporter,"james importer and exporter","Sole importer and exporter of spare parts in Africa ",Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",22541251-022f-480c-8c1e-cf754dce16d6,019af76c0c18e2b406578c35583ca54640d018abd0b04dd3663146859fdc0599
131,lanre-the-dreaded-guy,"lanre the dreaded guy","The wayward tout",Male,"hair: none ,eyes: none, teeth:white, clothings: ankara, accessories:cap, expression: happy, strength:Strong  ",66a054cd-5541-4000-98aa-8f2e9892d880,10e626f030339d6ed973f827f6bfe27334794d19126abbc30215480375bada02
132,olamide-the-street-boy,"olamide the street boy","Friendly street gang",Male,"hair:none ,eyes: white, teeth: none, clothings: green and blue, accessories: cap, expression: serious face, strength:Strong  ",d50a35b1-b42e-4e0c-8dd8-9b892b56d371,e12493634383393c4855eee70d75a0cc32fc08e23952dbaea60ec0e08c613977
133,uche-peace-loving-man,"uche peace loving man","A man of peace and discipline ",Male,"hair: yellow ,eyes: blue,teeth:none, clothings: yellow, accessories:none, expression:happy, strength:Strong  ",6c9d6eae-2ea2-468c-a2c8-928aaafc084b,af97fd07b499bc986f1cdd8f4b8f0d08552c4faab3275bfbcb8a93d32910256a
134,dave-the-tech-bro,"dave the tech bro","Dave the web3 geng",Male,"hair: none ,eyes: none, teeth:white, clothings: none, accessories:cap, expression: serious face, strength:Strong  ",c0857b11-bf0e-46a4-9108-b8eb93d83e74,2b02f1b38011713d2ca4fc1f421ae7891f547d02e90529aeaef2c50dc87f05b8
135,obi-the-biggest-humanitarian,"obi the biggest humanitarian","The biggest helper during the pandemic ",Male,"hair:none ,eyes: blue, teeth:white, clothings: brown, accessories:cap, expression:happy, strength: Strong  ",201a408c-7a2e-42d9-a62c-0136c885c211,6c83bea30efa961b6757227b053e5f12cac82b9b61a4311c25fad9b7c96afb52
136,precious-the-emotional-girl,"precious the emotional girl","Soft hearted and sensitive precious ",Female,"hair:none ,eyes: white, teeth: white, clothings: yellow and blue, accessories:cap, expression:angry, strength:Strong ",b6a41ff1-51ce-42f7-9933-85d0a22ced68,d19814f7364146a751c396b606faecaf42df3a1abf14743bc17f9bc4928e4268
137,ella-serious-minded,"ella serious minded","Ella a dedicated young lady ",Female,"hair: none ,eyes: white,teeth: white, clothings: black and yellow, accessories:cap, expression:happy, strength:Strong  ",04036447-f43e-4bfb-9503-f55c9064b14e,77c739d576950e282f6b53d6f9d6f8c1c14edbb1db628f66f945af051847caf8
138,cynthia-cute-eyes,"cynthia cute eyes","Cynthia with a priceless cute eyes",Female,"hair:yellow ,eyes: blue,teeth:none, clothings: blue and yellow, accessories: none, expression: serious face, strength: mild ",5d12847b-6d71-4691-8337-2e6ef3e283b2,555d5ff1ca680dc8e1d4694b5319efa97c2ff9dd6f94ce8be9992536cc8e0de1
139,mary-with-hair,"mary with hair","Mary with her beautiful Afro ",Female,"hair: none,eyes: none,teeth:none, clothings: casual ankara, accessories:cap, expression:scared, strength:sensitive, weakness: fearful",98035e8b-6540-4464-8a3c-fdac9f07b168,39eb3af193b2b493e315a4513350a07917c169b047f2573c61c4f6f675182b4d
140,ada-chewing-bubble-gum,"ada chewing bubble gum","Ada always chewing gum",Female,"hair: none,eyes: none,teeth: white, clothings: traditional wear, accessories:cap, expression:sassy, strength:decisive, weakness: insensitive",15309dc5-e483-4658-b503-db85ba2c1722,03c94a9d63b399613c86d43a3a6e0e122bce006172be11563aa469c5e1f83768
,,,,,,
"TEAM PLUG",,,,,,
141,viganem-the-drummer-girl,"viganem the drummer girl","she loves jumping a fence to play drums after school",female,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,99be3e59148754b8f264b6252209274beeb013cf9b7ba95dcf21db1ee388335f
142,"lenusuka-the- big-woman","lenusuka the big woman","The lady that loves spending money and buying everybody asaobi",female,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",e564a43a-ef77-487d-a88e-749d20a09fd8,ef97b34921ae8b79516403e19e27e7ea1634690e66c55bdb553ca19c8d087ff3
143,enepua-the-clout-queen,"enepua the clout queen","The lady that travels all day and enjoys snapping food at restaurants",female,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",6dc7e452-0626-4f4c-a28c-f5db3532e305,f521bcd09612fe8b0a06431a226bddf15893bbd3bd494c72cd9a627c9d0243d9
144,usifong-queen-of-mushin,"usifong queen of mushin","Changes her hair every 2 weeks and cannot finish one pure water",female,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",221263d0-8775-49f8-bbf8-4b08b49e1482,8ca63b59eafe8ef38e622282f2cf85e2f6ce7365de249e91b42af4d6f9f1f3a8
145,akinyim-the-agbaya,"akinyim the agbaya","Always playing with small childrens and mostly small girls",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",c1070dce-48a1-4ae8-b9a4-d070859a8377,15fa91fc392bc2b0ef996ceaa0082f2564d062ef54f6e6b642aa1816004db484
146,zawadi-mr-sleep-everywhere,"zawadi mr sleep everywhere","Likes sleeping in the weirdest places especially in clubs",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",c22489fe-574b-47f3-9667-c9c798b2d4df,513d0ad98ff4180c3f8c15a13024f070e759bbca7286553040a917f60cd3ae26
147,chepkirui-mr-self-love,"chepkirui mr self love","Likes taking care of himself and spending on himself",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",1a91e778-d214-476b-a667-94e9ecb8b5ce,d0c69f90bc3de1ecbcbd2ffe03b8b30b202d9b1bccac497ce388ab82ca796349
148,naserian-mr-fear-fear,"naserian mr fear fear","Has never slept with anyone and can not kill cockroach",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",8177cf38-8284-4eb4-b19c-04473bcb3b5e,4677e95bee0ccdf0ea03e77046453e756508cd45c857b9dd0b30375dcb62a07d
149,wawuda-the-ashawo-of-africa,"wawuda the ashawo of africa","Brags about his body count and follows skirt anywhere",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",0554bf35-f588-4009-aafc-ef875b878c29,707de0d422f0d942db56dfc44f32af6ca1577d738e98a12cca2cd24eec10bf79
150,kerubo-the-igbo-smoker,"kerubo the igbo smoker","Loves only his igbo and is happy when he finds an old blunt",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",33ba8e73-7949-4bc7-ba27-37ee1d573946,6d1122b30f5109511f3e2d7ff7c2afbdfe652aff649ca083e6592c3179f701a3
151,"rehema-the- olodo","rehema the olodo","Failed primary 5 eight times and like playing football after school",male,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",1fb33783-4898-48cf-8a73-f81afc71e1a8,3d5c1fb12c049d02f5264ea794144e24c2b9ceeeb156df7bfaa04e69256ec893
152,nekesa-the-brainbox,"nekesa the brainbox","A proposed elite who cannot write a simple speech",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",7ba909bd-19a1-454d-a86c-a45e85cb94a6,5bf17114d901535f8bdde0a3631f039f6a139fdc180438ba88bd7504c415f392
153,kiokoli-the-slowrunner,"kiokoli the slowrunner","Always running in every race but never making it to the first 5",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,8bd74e44a4c146c0340080830bee47c8e70ab3ec7475b17aa39095abe1dd34f2
154,adjuani-uncle-wire-wire,"adjuani uncle wire wire","Mugu money spender that loves spending on women extravagantly",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",36cd959f-d280-41f6-af76-765715c72527,8389ef3376c32927ea2fa423b7370b871518b1a496c6028f74619935f774044c
155,ajobaru-a-serial-killer,"ajobaru a serial killer","High end assasin who cannot survive a day without sex",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",9d262f55-73d7-4b95-9a82-42356dbb085c,71a19540b6257facccefa69a97f55ea87adadcddfca9540a9e6fa6c81c05d874
156,effiadem-the-fireman,"effiadem the fireman","A retired military general who always loves shooting at sight",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,d07120ff9d05328cbf3548610965176d9ed9ac4a85202857078f5ba235bcf74a
157,deladem-the-commandoo,"deladem the commandoo","The nerd who has watched all war movies but cannot fight a kid",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",88106b92-da30-46ad-a3cc-d528683b9e33,a7dbef28073c91446b14262b865a8ad3c4424d2c846c6755cda805317f6e4177
158,dogbeda-the-monger,"dogbeda the monger","A fisherman who pracitically live in the river",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",66a09968-cb92-4378-a588-49947f68c537,d15f867dac471ebdb1d8268c22cc82c512bd7677f53601f456dd09b0638d1540
159,enyonyam-our-slay-mama,"enyonyam our slay mama","Posts new pictures everyday and can snub for africa",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",5e7c7f9d-d631-4759-9b27-cbaccd33d39f,134ee341eeb1d409c80e97be0de9f651ca6d34c957162c50e8c53e34bd9bf017
160,lumusi-pro-technician,"lumusi pro technician","The electrician well known for wiring burnt buildings",,"Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .",b07676a6-c611-410d-8426-46c9c525189a,1f1cdc0b6fe5bfaf69a592dcfab486bf321be5bbeff2778c560b7e972158e042
,,,,,,
"TEAM HEADLIGHT",,,,,,
161,funmi-the-fashionist,"funmi the fashionist","funmi enjoys fashion and she always takes opportunity to showcase her wardrobe",Female,"hair: black hair, eyes: none, teeth: none, clothing: aso oke, expression: cool, accessories: head tye and eye glasses, strength: fashion, weakness:men",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,2f30a177ba778eb31b440fbd00868a14e7e4f49800348e701ef7295529966b3c
162,bola-the-funky,"bola the funky","Bola is a funky fellow but she has another personality no one knows",Female,"hair: Purple shuku, eyes: none, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,b3d1aa4ab64ad7423c722e5e2fee14b7c38143acf8842a7b9bfbb6af80c1ba4e
163,bimpe-the-runzgirl,"bimpe the runzgirl","be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,cd42de4871d0cbb4b1bdbb22df2cd459a19f8f4a6ef437361139c9ac6103af18
164,sola-the-queen,"sola the queen","sola is a princess. she's got the mind of a queen",Female,"hair: brown long hair, eyes: none, teeth: none, clothing: blouse top, expression: cool, accessories: eye glasses, strength: Strong character, weakness: beauty",d5f23ad3-832a-4d3e-814e-e23f466d18a4,28d175bbffdd52d110dcff938bfa43ed734102e431fd4d255d53b0628bf63c49
165,temi-afro-girl,"temi afro girl","temi is know for her funny haircut. this time, afro is up",Female,"hair: orange full hair, eyes: none, teeth: none, clothing: ankara, expression: cool, accessories: eye glasses, strength: loving, weakness: sheepish",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,4e724f63a577f8bb38869956960f9ea472d3c337fd672bc0cedabf15e0e3589b
